State,Assembly,Candidate,Party,Votes
Uttar Pradesh,Gorakhpur,ASTBHUJA PRASAD TRIPATHI,Indian National Congress,"  45,719 "
Uttar Pradesh,Gorakhpur,RADHE MOHAN MISRA,Aam Aadmi Party,"  11,873 "
Uttar Pradesh,Gorakhpur,ACHHE LAL GUPTA,Independent,"  5,339 "
Uttar Pradesh,Gorakhpur,FAIZ AHAMAD FAIZI,Peace Party,"  5,046 "
Uttar Pradesh,Gorakhpur,RAMKISHUN,Independent,"  4,387 "
Uttar Pradesh,Gorakhpur,ASHOK,Independent,"  4,194 "
Uttar Pradesh,Gorakhpur,MUNNA,Swarajya Party Of India,"  4,024 "
Uttar Pradesh,Gorakhpur,INDRA DEO YADAVA,Bhartiya Shakti Chetna Party,"  2,398 "
Uttar Pradesh,Gorakhpur,SUBASH KUMAR MAURYA,Rashtriya Janwadi Party (Krantikari),"  2,123 "
Uttar Pradesh,Gorakhpur,MOHD. WASEEM KHAN,Bahujan Mukti Party,"  2,016 "
Uttar Pradesh,Gorakhpur,RAJESH,Communist Party of India (Marxist-Leninist) (Liberation),"  1,873 "
Uttar Pradesh,Gorakhpur,RAJIT MISHRA,Naitik Party,"  1,171 "
Uttar Pradesh,Gorakhpur,None of the Above,None of the Above,"  8,153 "
Uttar Pradesh,Hamirpur,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,"  453,884 "
Uttar Pradesh,Hamirpur,BISHAMBHAR PRASAD NISHAD,Samajwadi Party,"  187,096 "
Uttar Pradesh,Hamirpur,RAKESH KUMAR GOSWAMI,Bahujan Samaj Party,"  176,356 "
Uttar Pradesh,Hamirpur,"PRITAM SINGH LODHI ""KISAAN""",Indian National Congress,"  78,229 "
Uttar Pradesh,Hamirpur,VIMLESH,Independent,"  23,137 "
Uttar Pradesh,Hamirpur,ATUL KUMAR PRAJAPATI,Aam Aadmi Party,"  9,663 "
Uttar Pradesh,Hamirpur,AVINASH KUMAR MISHRA,All India Trinamool Congress,"  6,297 "
Uttar Pradesh,Hamirpur,VIVEK KUMAR,Rashtriya Krantikari Samajwadi Party,"  5,749 "
Uttar Pradesh,Hamirpur,ANIL KUMAR,Ambedkar Samaj Party,"  4,860 "
Uttar Pradesh,Hamirpur,PRAVESH KUMAR VYAS,Independent,"  4,314 "
Uttar Pradesh,Hamirpur,KIRAN,Independent,"  4,079 "
Uttar Pradesh,Hamirpur,SHRIPAL,Bundelkhand Congress,"  3,435 "
Uttar Pradesh,Hamirpur,RAMESH PRAJAPATI,Most Backward Classes Of India,"  2,981 "
Uttar Pradesh,Hamirpur,RAMSAJIVAN,Bhartiya Shakti Chetna Party,"  2,955 "
Uttar Pradesh,Hamirpur,KAILASH PRASAD NISHAD,Eklavya Samaj Party,"  1,756 "
Uttar Pradesh,Hamirpur,None of the Above,None of the Above,"  10,449 "
Uttar Pradesh,Hardoi,ANSHUL VERMA,Bharatiya Janata Party,"  360,501 "
Uttar Pradesh,Hardoi,SHIVE PRASAD VERMA,Bahujan Samaj Party,"  279,158 "
Uttar Pradesh,Hardoi,USHA VERMA,Samajwadi Party,"  276,543 "
Uttar Pradesh,Hardoi,SARVESH KUMAR,Indian National Congress,"  23,298 "
Uttar Pradesh,Hardoi,SHIVEKUMAR,Independent,"  4,737 "
Uttar Pradesh,Hardoi,SARVESH,Independent,"  4,130 "
Uttar Pradesh,Hardoi,SUNIL BHARTI,Independent,"  4,045 "
Uttar Pradesh,Hardoi,SAROJ KUMAR,Independent,"  3,287 "
Uttar Pradesh,Hardoi,CHANDRAPAL,Bharatiya Republican Paksha,"  2,003 "
Uttar Pradesh,Hardoi,HIRA LAL VERMA,Aam Aadmi Party,"  1,670 "
Uttar Pradesh,Hardoi,RAMDAYAL,Peace Party,"  1,576 "
Uttar Pradesh,Hardoi,RAMPAL,Independent,"  1,326 "
Uttar Pradesh,Hardoi,SANTRAM,Bahujan Mukti Party,"  1,296 "
Uttar Pradesh,Hardoi,RAMLAKHAN GAUTAM,Indian Savarn Samaj Party,  834 
Uttar Pradesh,Hardoi,SANJAY KUMAR,Bhartiya Krishak Dal,  830 
Uttar Pradesh,Hardoi,None of the Above,None of the Above,"  7,660 "
Uttar Pradesh,Hathras,RAJESH KUMAR DIWAKER,Bharatiya Janata Party,"  544,277 "
Uttar Pradesh,Hathras,MANOJ KUMAR SONI,Bahujan Samaj Party,"  217,891 "
Uttar Pradesh,Hathras,RAMJI LAL SUMAN,Samajwadi Party,"  180,891 "
Uttar Pradesh,Hathras,NIRANJAN SINGH DHANGAR,Rashtriya Lok Dal,"  86,109 "
Uttar Pradesh,Hathras,SUNHARI LAL,Aam Aadmi Party,"  5,043 "
Uttar Pradesh,Hathras,NIRANJAN SINGH,Independent,"  2,847 "
Uttar Pradesh,Hathras,OMPRKASH,Independent,"  2,778 "
Uttar Pradesh,Hathras,RAJA RAM,Independent,"  2,169 "
Uttar Pradesh,Hathras,DALVIR SINGH,Independent,"  1,599 "
Uttar Pradesh,Hathras,None of the Above,None of the Above,"  5,669 "
Uttar Pradesh,Jalaun,VERMA,Bharatiya Janata Party,"  548,631 "
Uttar Pradesh,Jalaun,BRIJLAL KHABRI,Bahujan Samaj Party,"  261,429 "
Uttar Pradesh,Jalaun,GHANSHAYAM ANURAGI,Samajwadi Party,"  180,921 "
Uttar Pradesh,Jalaun,VIJAY CHAUDHARI,Indian National Congress,"  82,903 "
Uttar Pradesh,Jalaun,RAMNARAYAN,Bahujan Mukti Party,"  4,944 "
Uttar Pradesh,Jalaun,RAM SINGH,Communist Party of India (Marxist-Leninist) (Liberation),"  4,761 "
Uttar Pradesh,Jalaun,MANOJ KUMAR,Bharatiya Republican Paksha,"  4,561 "
Uttar Pradesh,Jalaun,DALCHANDRA ANURAGI,Aam Aadmi Party,"  3,337 "
Uttar Pradesh,Jalaun,RAJKUMAR,Peace Party,"  2,816 "
Uttar Pradesh,Jalaun,GANGASINGH,Al-Hind Party,"  2,525 "
Uttar Pradesh,Jalaun,JAYRAM,Bhartiya Shakti Chetna Party,"  2,047 "
Uttar Pradesh,Jalaun,None of the Above,None of the Above,"  10,291 "
Uttar Pradesh,Jaunpur,KRISHNA PRATAP 'K.P.',Bharatiya Janata Party,"  367,149 "
Uttar Pradesh,Jaunpur,SUBHASH PANDEY,Bahujan Samaj Party,"  220,839 "
Uttar Pradesh,Jaunpur,PARASNATH YADAV,Samajwadi Party,"  180,003 "
Uttar Pradesh,Jaunpur,DHANANJAY SINGH,Independent,"  64,137 "
Uttar Pradesh,Jaunpur,DR. K. P. YADAV,Aam Aadmi Party,"  43,471 "
Uttar Pradesh,Jaunpur,RAVI KISHAN,Indian National Congress,"  42,759 "
Uttar Pradesh,Jaunpur,RAVIKANT YADAV,Independent,"  20,832 "
Uttar Pradesh,Jaunpur,SHAHABUDDIN,Rashtriya Ulama Council,"  19,636 "
Uttar Pradesh,Jaunpur,JOGENDRA PRASAD,Independent,"  7,281 "
Uttar Pradesh,Jaunpur,PRAMOD KUMAR ALIAS PRAMOD BHAI PATEL,Samyak Parivartan Party,"  7,206 "
Uttar Pradesh,Jaunpur,PREMCHAND BIND,Pragatisheel Manav Samaj Party,"  6,814 "
Uttar Pradesh,Jaunpur,ANUPATI RAM YADAV,Bahujan Mukti Party,"  4,026 "
Uttar Pradesh,Jaunpur,YOGISH CHANDRA DUBEY,Independent,"  2,773 "
Uttar Pradesh,Jaunpur,ANIL KUMAR SINGH,Independent,"  2,694 "
Uttar Pradesh,Jaunpur,RAVISHANKAR MAURYA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),"  2,608 "
Uttar Pradesh,Jaunpur,RAJESH PRAJAPATI,Sarvshreshth Dal,"  2,329 "
Uttar Pradesh,Jaunpur,ARVIND,Suheldev Bhartiya Samaj Party,"  2,204 "
Uttar Pradesh,Jaunpur,VIMAL KUMAR YADAV,Independent,"  2,109 "
Uttar Pradesh,Jaunpur,SARFARAJ,Peace Party,"  2,064 "
Uttar Pradesh,Jaunpur,DR. SANJIVAN BIND,Independent,"  1,863 "
Uttar Pradesh,Jaunpur,GULAB CHAND DUBEY,Shivsena,"  1,751 "
Uttar Pradesh,Jaunpur,None of the Above,None of the Above,"  2,595 "
Uttar Pradesh,Jhansi,UMA BHARATI,Bharatiya Janata Party,"  575,889 "
Uttar Pradesh,Jhansi,DR. CHANDRAPAL SINGH YADAV,Samajwadi Party,"  385,422 "
Uttar Pradesh,Jhansi,ANURADHA SHARMA,Bahujan Samaj Party,"  213,792 "
Uttar Pradesh,Jhansi,PRADEEP JAIN 'ADITYA',Indian National Congress,"  84,089 "
Uttar Pradesh,Jhansi,RAM KUMAR 'ANK SHASTRI',Independent,"  11,443 "
Uttar Pradesh,Jhansi,RAJENDRA KUMAR,Independent,"  8,600 "
Uttar Pradesh,Jhansi,ARCHANA,Aam Aadmi Party,"  5,536 "
Uttar Pradesh,Jhansi,RACHNA SHARMA,Independent,"  4,522 "
Uttar Pradesh,Jhansi,NARESH KUMAR,Rashtriya Sarvajan Party,"  4,215 "
Uttar Pradesh,Jhansi,DILSHAD AHMAD,Independent,"  2,727 "
Uttar Pradesh,Jhansi,TULA RAM,Independent,"  2,605 "
Uttar Pradesh,Jhansi,SUNIL MASSEY,Shivsena,"  2,121 "
Uttar Pradesh,Jhansi,KULDEEP KUMAR,Independent,"  2,036 "
Uttar Pradesh,Jhansi,CHINTAMANI,Akhil Rashtrawadi Party,"  2,029 "
Uttar Pradesh,Jhansi,MAULANA MOHAMMAD,Peace Party,"  1,819 "
Uttar Pradesh,Jhansi,None of the Above,None of the Above,"  13,959 "
Uttar Pradesh,Kairana,HUKUM SINGH,Bharatiya Janata Party,"  565,909 "
Uttar Pradesh,Kairana,NAHID HASAN,Samajwadi Party,"  329,081 "
Uttar Pradesh,Kairana,KANWAR HASAN,Bahujan Samaj Party,"  160,414 "
Uttar Pradesh,Kairana,KARTAR SINGH BHADANA,Rashtriya Lok Dal,"  42,706 "
Uttar Pradesh,Kairana,DIVAKAR KASHYAP,All India Trinamool Congress,"  6,562 "
Uttar Pradesh,Kairana,KRISHANPAL,Independent,"  2,971 "
Uttar Pradesh,Kairana,SUNIL KUMAR KASANA,Aam Aadmi Party,"  2,663 "
Uttar Pradesh,Kairana,MOHANLAL,Independent,"  1,741 "
Uttar Pradesh,Kairana,RAMKARAN KASHYAP,Bhartiya Vanchitsamaj Party,"  1,378 "
Uttar Pradesh,Kairana,PARDIP,Bahujan Mukti Party,"  1,050 "
Uttar Pradesh,Kairana,SUNITA,Janata Dal (United),  946 
Uttar Pradesh,Kairana,None of the Above,None of the Above,"  3,903 "
Uttar Pradesh,Kaiserganj,BRIJ BHUSAN SHARAN SINGH,Bharatiya Janata Party,"  381,500 "
Uttar Pradesh,Kaiserganj,VINOD KUMAR ALIAS PANDIT SINGH,Samajwadi Party,"  303,282 "
Uttar Pradesh,Kaiserganj,KRISHNA KUMAR OJHA,Bahujan Samaj Party,"  146,726 "
Uttar Pradesh,Kaiserganj,MUKESH SRIVASTAV ALIAS GYANENDRA PRATAP,Indian National Congress,"  57,401 "
Uttar Pradesh,Kaiserganj,RAMPHER ALIAS CHUNTI,Independent,"  11,366 "
Uttar Pradesh,Kaiserganj,GOVIND PRASAD,Samyak Parivartan Party,"  5,849 "
Uttar Pradesh,Kaiserganj,MUNNI,Independent,"  5,245 "
Uttar Pradesh,Kaiserganj,JAMEER AHMAD,Independent,"  3,905 "
Uttar Pradesh,Kaiserganj,PRAHLAD NATH MISHRA,Independent,"  3,867 "
Uttar Pradesh,Kaiserganj,RIZWAN AHMAD,Aam Aadmi Party,"  3,710 "
Uttar Pradesh,Kaiserganj,NISHANT KANCHAN,Independent,"  3,246 "
Uttar Pradesh,Kaiserganj,NIHALUDDIN AHAMAD,All India Peoples' Front (Radical),"  2,119 "
Uttar Pradesh,Kaiserganj,CHAMAN LAL KASAUNDHAN,Lok Dal,"  1,822 "
Uttar Pradesh,Kaiserganj,NIRHU,Communist Party of India (Marxist-Leninist) Red Star,"  1,466 "
Uttar Pradesh,Kaiserganj,None of the Above,None of the Above,"  11,853 "
Uttar Pradesh,Kannauj,DIMPLE YADAV,Samajwadi Party,"  489,164 "
Uttar Pradesh,Kannauj,SUBRAT PATHAK,Bharatiya Janata Party,"  469,257 "
Uttar Pradesh,Kannauj,NIRMAL TIWARI,Bahujan Samaj Party,"  127,785 "
Uttar Pradesh,Kannauj,RAKESH KUMAR TIWARI ADVOCATE,Independent,"  5,723 "
Uttar Pradesh,Kannauj,IMRAN BIN ZAFAR,Aam Aadmi Party,"  4,826 "
Uttar Pradesh,Kannauj,MUHAR SINGH AMVADI,Independent,"  2,891 "
Uttar Pradesh,Kannauj,SANJAY SHAKYA,Independent,"  2,567 "
Uttar Pradesh,Kannauj,GANGA CHARAN,Rashtriya Kranti Party,"  1,282 "
Uttar Pradesh,Kannauj,PRADEEP KUMAR,Independent,  964 
Uttar Pradesh,Kannauj,SUBODH KUMAR,Peace Party,  927 
Uttar Pradesh,Kannauj,SURENDRA NATH,Bahujan Mukti Party,  888 
Uttar Pradesh,Kannauj,PUSHPA DEVI,Bhartiya Shakti Chetna Party,  806 
Uttar Pradesh,Kannauj,None of the Above,None of the Above,"  7,380 "
Uttar Pradesh,Kanpur,DR.MURLI MANOHAR JOSHI,Bharatiya Janata Party,"  474,712 "
Uttar Pradesh,Kanpur,SRIPRAKASH JAISWAL,Indian National Congress,"  251,766 "
Uttar Pradesh,Kanpur,SALEEM AHMAD,Bahujan Samaj Party,"  53,218 "
Uttar Pradesh,Kanpur,SURENDRA MOHAN AGARWAL,Samajwadi Party,"  25,723 "
Uttar Pradesh,Kanpur,MAHMOOD HUSAIN RAHMANI,Aam Aadmi Party,"  11,925 "
Uttar Pradesh,Kanpur,KISHOR BAJPAI,Independent,"  3,005 "
Uttar Pradesh,Kanpur,PREM CHANDRA PANDEY,Independent,"  2,350 "
Uttar Pradesh,Kanpur,ANIL AWASTHI,All India Trinamool Congress,"  1,701 "
Uttar Pradesh,Kanpur,ASHOK PASWAN ADVOCATE,Independent,"  1,398 "
Uttar Pradesh,Kanpur,MUZAFFAR HUSAIN KHAN,Independent,"  1,069 "
Uttar Pradesh,Kanpur,VISHWANATH KATARIA,Independent,  929 
Uttar Pradesh,Kanpur,VINAYAK RAO TOPE,Swarajya Party Of India,  723 
Uttar Pradesh,Kanpur,HIMMAT LAL,Akhil Bharatiya Rajarya Sabha,  683 
Uttar Pradesh,Kanpur,BETALAL DIWAKAR,Independent,  665 
Uttar Pradesh,Kanpur,DR.NIKHIL GUPTA,Nav Bharat Democratic Party,  580 
Uttar Pradesh,Kanpur,KUMARI SARASWATI,Independent,  475 
Uttar Pradesh,Kanpur,RAMESH KUMAR GUPTA,Parivartan Samaj Party,  433 
Uttar Pradesh,Kanpur,MOHAMMAD.ATEEQ,Rashtrawadi Samaj Party,  425 
Uttar Pradesh,Kanpur,MOHD.NASIR KHAN,Peace Party,  364 
Uttar Pradesh,Kanpur,ANAND MEHROTRA,Nagrik Ekta Party,  361 
Uttar Pradesh,Kanpur,DEVENDRA KUMAR SHARMA,Akhil Bharatiya Ashok Sena,  296 
Uttar Pradesh,Kanpur,None of the Above,None of the Above,"  2,278 "
Uttar Pradesh,Kaushambi,VINOD KUMAR SONKAR,Bharatiya Janata Party,"  331,593 "
Uttar Pradesh,Kaushambi,SHAILENDRA KUMAR,Samajwadi Party,"  288,746 "
Uttar Pradesh,Kaushambi,SURESH PASI,Bahujan Samaj Party,"  201,196 "
Uttar Pradesh,Kaushambi,MAHENDRA KUMAR,Indian National Congress,"  31,904 "
Uttar Pradesh,Kaushambi,MOHAN LAL,Independent,"  9,180 "
Uttar Pradesh,Kaushambi,SHRIPAL,Bahujan Mukti Party,"  7,341 "
Uttar Pradesh,Kaushambi,MALTI DEVI,Rashtriya Samanta Dal,"  6,548 "
Uttar Pradesh,Kaushambi,RAJENDRA SONKAR,Lok Dal,"  6,386 "
Uttar Pradesh,Kaushambi,BEENA RANI,Independent,"  4,957 "
Uttar Pradesh,Kaushambi,SWARNALATA SUMAN,Aam Aadmi Party,"  3,692 "
Uttar Pradesh,Kaushambi,CHHEDDOO,Independent,"  3,340 "
Uttar Pradesh,Kaushambi,None of the Above,None of the Above,"  15,155 "
Uttar Pradesh,Kheri,AJAY KUMAR,Bharatiya Janata Party,"  398,578 "
Uttar Pradesh,Kheri,ARVIND GIRI,Bahujan Samaj Party,"  288,304 "
Uttar Pradesh,Kheri,ZAFAR ALI NAQVI,Indian National Congress,"  183,940 "
Uttar Pradesh,Kheri,RAVI PRAKASH VERMA,Samajwadi Party,"  160,112 "
Uttar Pradesh,Kheri,VIPNESH,Communist Party of India,"  16,401 "
Uttar Pradesh,Kheri,RAMESHWARI,Independent,"  3,514 "
Uttar Pradesh,Kheri,KRISHNA ADHIKARI,Communist Party of India (Marxist-Leninist) (Liberation),"  3,230 "
Uttar Pradesh,Kheri,ASHOK,Aam Aadmi Party,"  3,165 "
Uttar Pradesh,Kheri,ASHRAF ALI,Peace Party,"  3,124 "
Uttar Pradesh,Kheri,DINESH KUMAR,Bahujan Mukti Party,"  2,861 "
Uttar Pradesh,Kheri,RAMGOPAL MISHRA,Independent,"  2,608 "
Uttar Pradesh,Kheri,None of the Above,None of the Above,"  12,031 "
Uttar Pradesh,Kushi Nagar,RAJESH PANDEY URF GUDDU,Bharatiya Janata Party,"  370,051 "
Uttar Pradesh,Kushi Nagar,KUNWAR RATANJIT PRATAP NARAIN SINGH,Indian National Congress,"  284,511 "
Uttar Pradesh,Kushi Nagar,DR. SANGAM MISHRA,Bahujan Samaj Party,"  132,881 "
Uttar Pradesh,Kushi Nagar,RADHE SHYAM SINGH,Samajwadi Party,"  111,256 "
Uttar Pradesh,Kushi Nagar,KASHEEM ALI,Peace Party,"  9,024 "
Uttar Pradesh,Kushi Nagar,RAMDHANEE,Deshbhakt Nirman Party,"  5,485 "
Uttar Pradesh,Kushi Nagar,RAMPRATAP,Janata Dal (United),"  4,805 "
Uttar Pradesh,Kushi Nagar,MARKANDE,Bahujan Mukti Party,"  4,270 "
Uttar Pradesh,Kushi Nagar,AMEERUDDIN,Apna Dal United Party,"  3,843 "
Uttar Pradesh,Kushi Nagar,AKHAND,Aam Aadmi Party,"  3,802 "
Uttar Pradesh,Kushi Nagar,ARVIND,Swaraj (J),"  3,630 "
Uttar Pradesh,Kushi Nagar,JAHID,Suheldev Bhartiya Samaj Party,"  2,677 "
Uttar Pradesh,Kushi Nagar,BACHCHOOLAAL,Most Backward Classes Of India,"  2,145 "
Uttar Pradesh,Kushi Nagar,GOBARDHAN PRASAD,Socialist Party (India),"  1,963 "
Uttar Pradesh,Kushi Nagar,None of the Above,None of the Above,"  10,102 "
Uttar Pradesh,Lalganj,NEELAM SONKAR,Bharatiya Janata Party,"  324,016 "
Uttar Pradesh,Lalganj,BECHAI SAROJ,Samajwadi Party,"  260,930 "
Uttar Pradesh,Lalganj,DR. BALIRAM,Bahujan Samaj Party,"  233,971 "
Uttar Pradesh,Lalganj,BALIHARI BABU,Indian National Congress,"  21,832 "
Uttar Pradesh,Lalganj,PRADEEP KUMAR,Rashtriya Ulama Council,"  14,368 "
Uttar Pradesh,Lalganj,HARIPRASAD SONKAR,Communist Party of India,"  10,523 "
Uttar Pradesh,Lalganj,JIYA LAL,Aam Aadmi Party,"  5,668 "
Uttar Pradesh,Lalganj,SHRIPATI,Qaumi Ekta Dal,"  4,620 "
Uttar Pradesh,Lalganj,ACHCHHELAL,Independent,"  4,536 "
Uttar Pradesh,Lalganj,JANGBAHADUR,Independent,"  3,307 "
Uttar Pradesh,Lalganj,AVADHESH,Independent,"  2,129 "
Uttar Pradesh,Lalganj,LAL BAHADUR,Bahujan Mukti Party,"  1,911 "
Uttar Pradesh,Lalganj,DINESH KUMAR,Asankhya Samaj Party,"  1,733 "
Uttar Pradesh,Lalganj,SUKHANAYAN,Jan Shakti Ekta Party,"  1,398 "
Uttar Pradesh,Lalganj,None of the Above,None of the Above,"  7,713 "
Uttar Pradesh,Lucknow,RAJ NATH SINGH,Bharatiya Janata Party,"  561,106 "
Uttar Pradesh,Lucknow,PROF. RITA BAHUGUNA JOSHI,Indian National Congress,"  288,357 "
Uttar Pradesh,Lucknow,NAKUL DUBEY,Bahujan Samaj Party,"  64,449 "
Uttar Pradesh,Lucknow,ABHISHEK MISRA,Samajwadi Party,"  56,771 "
Uttar Pradesh,Lucknow,SYED JAVED AHMED JAFRI,Aam Aadmi Party,"  41,429 "
Uttar Pradesh,Lucknow,SUMAN VERMA,Bhartiya Shakti Chetna Party,"  1,901 "
Uttar Pradesh,Lucknow,MOHD. SARWAR MALIK,All India Trinamool Congress,"  1,486 "
Uttar Pradesh,Lucknow,SANJEEV MEHROTRA ALIAS PIKKU BHAI,Bahujan Kranti Party (Marxwad-Ambedkarwad),"  1,174 "
Uttar Pradesh,Lucknow,SYED ALI HUSAIN,Independent,"  1,100 "
Uttar Pradesh,Lucknow,ASOK PANDE,Independent,  930 
Uttar Pradesh,Lucknow,SHISHU PAL YADAV,RASHTRIYA VIKLANG PARTY,  851 
Uttar Pradesh,Lucknow,SUNIL SINGH,Lok Dal,  849 
Uttar Pradesh,Lucknow,TARA PATKAR,Swarajya Party Of India,  743 
Uttar Pradesh,Lucknow,SUBHASH CHANDRA LEHRI,Independent,  719 
Uttar Pradesh,Lucknow,HARI RAM ALIAS HARIBHAI PATEL,Samyak Parivartan Party,  694 
Uttar Pradesh,Lucknow,PADAM CHANDRA GUPTA,Independent,  661 
Uttar Pradesh,Lucknow,SHAILENDRA SINGH YADAV,Independent,  607 
Uttar Pradesh,Lucknow,VIJAY BAHADUR SINGH,Manavtawadi Samaj Party,  575 
Uttar Pradesh,Lucknow,MANOJ SINGH,Independent,  572 
Uttar Pradesh,Lucknow,RADHA KRISHNAN,Uttar Pradesh Republican Party,  542 
Uttar Pradesh,Lucknow,RAJ KUMAR SINGH,National Youth Party,  523 
Uttar Pradesh,Lucknow,RAMPHAL RAWAT,Bharatiya Nav Kranti Party,  502 
Uttar Pradesh,Lucknow,NAND KUMAR LODHI RAJPOOT,Rashtriya Krantikari Samajwadi Party,  445 
Uttar Pradesh,Lucknow,VINAY PRAKASH MISHRA,Independent,  441 
Uttar Pradesh,Lucknow,RAJEEV RANJAN TIWARI ALIAS RAJ BEHARI,Independent,  391 
Uttar Pradesh,Lucknow,ADARSH SHASTRI,Independent,  389 
Uttar Pradesh,Lucknow,RABI DUBEY,Nagrik Ekta Party,  361 
Uttar Pradesh,Lucknow,YOGESH CHANDRA BHATT,Independent,  337 
Uttar Pradesh,Lucknow,GHANSHYAM SINGH,Independent,  282 
Uttar Pradesh,Lucknow,None of the Above,None of the Above,"  4,596 "
Uttar Pradesh,Machhlishahr,RAM CHARITRA NISHAD,Bharatiya Janata Party,"  438,210 "
Uttar Pradesh,Machhlishahr,BHOLANATH ALIAS B.P. SAROJ,Bahujan Samaj Party,"  266,055 "
Uttar Pradesh,Machhlishahr,TUFANI,Samajwadi Party,"  191,387 "
Uttar Pradesh,Machhlishahr,TUFANI NISHAD,Indian National Congress,"  36,275 "
Uttar Pradesh,Machhlishahr,SUBAS CHANDRA,Communist Party of India,"  18,777 "
Uttar Pradesh,Machhlishahr,RAJ ALIAS VIRENDRA KUMAR SONKAR,Aam Aadmi Party,"  9,223 "
Uttar Pradesh,Machhlishahr,SHRAVAN KUMAR PASWAN,Independent,"  7,833 "
Uttar Pradesh,Machhlishahr,HARINATH,Independent,"  5,279 "
Uttar Pradesh,Machhlishahr,RAJESH SONKAR,Independent,"  4,362 "
Uttar Pradesh,Machhlishahr,OMPRAKASH ALIAS AMBEDKAR,Independent,"  2,708 "
Uttar Pradesh,Machhlishahr,HARI,Suheldev Bhartiya Samaj Party,"  2,669 "
Uttar Pradesh,Machhlishahr,SIKANDAR,Bahujan Mukti Party,"  2,114 "
Uttar Pradesh,Machhlishahr,RAJESH,Janata Dal (United),"  1,552 "
Uttar Pradesh,Machhlishahr,LALJI,Bhartiya Shakti Chetna Party,"  1,543 "
Uttar Pradesh,Machhlishahr,SURESH GAUTAM,Adarsh Rashtriya Vikas Party,"  1,467 "
Uttar Pradesh,Machhlishahr,None of the Above,None of the Above,"  8,448 "
Uttar Pradesh,Maharajganj,PANKAJ,Bharatiya Janata Party,"  471,542 "
Uttar Pradesh,Maharajganj,KASHI NATH SHUKLA,Bahujan Samaj Party,"  231,084 "
Uttar Pradesh,Maharajganj,AKHILESH,Samajwadi Party,"  213,974 "
Uttar Pradesh,Maharajganj,HARSH VARDHAN,Indian National Congress,"  57,193 "
Uttar Pradesh,Maharajganj,ANIL KUMAR SHAHANI,Independent,"  15,517 "
Uttar Pradesh,Maharajganj,TEJ PRATAP,Independent,"  6,131 "
Uttar Pradesh,Maharajganj,SHREE AKHILESH KUMAR,Apna Dal United Party,"  5,422 "
Uttar Pradesh,Maharajganj,KAVILAS,Suheldev Bhartiya Samaj Party,"  5,195 "
Uttar Pradesh,Maharajganj,RAMSAMUJH,Swaraj (J),"  5,001 "
Uttar Pradesh,Maharajganj,GOVIND DAS,Independent,"  4,216 "
Uttar Pradesh,Maharajganj,DAYARAM NISHAD,Independent,"  4,210 "
Uttar Pradesh,Maharajganj,AJAYDHAR,Independent,"  4,079 "
Uttar Pradesh,Maharajganj,ARAT KHARVAR,Bahujan Mukti Party,"  3,752 "
Uttar Pradesh,Maharajganj,MUMMATAJ,Peace Party,"  3,582 "
Uttar Pradesh,Maharajganj,SHIVCHARAN,Jai Hind Samaj Party,"  3,455 "
Uttar Pradesh,Maharajganj,PASHUPATI NATH GUPTA,Aam Aadmi Party,"  3,196 "
Uttar Pradesh,Maharajganj,RAKESH KUMAR GIRI,Independent,"  2,545 "
Uttar Pradesh,Maharajganj,VIMLESH TRIPATHI,Naitik Party,"  2,339 "
Uttar Pradesh,Maharajganj,DINANATH,Independent,"  2,149 "
Uttar Pradesh,Maharajganj,RADHEYSHYAM,Most Backward Classes Of India,"  1,961 "
Uttar Pradesh,Maharajganj,RAKESH KUMAR GUPTA,Independent,"  1,828 "
Uttar Pradesh,Maharajganj,DINESH KUMAR,Independent,"  1,671 "
Uttar Pradesh,Maharajganj,MANGAL LAL,Lok Dal,"  1,491 "
Uttar Pradesh,Maharajganj,None of the Above,None of the Above,"  4,545 "
Uttar Pradesh,Mainpuri,MULAYAM SINGH YADAV,Samajwadi Party,"  595,918 "
Uttar Pradesh,Mainpuri,SHATRUGHAN SINGH CHAUHAN,Bharatiya Janata Party,"  231,252 "
Uttar Pradesh,Mainpuri,DR. SANGHMITRA MAURYA,Bahujan Samaj Party,"  142,833 "
Uttar Pradesh,Mainpuri,ALOK NANDAN,Independent,"  5,645 "
Uttar Pradesh,Mainpuri,BABA HARDEV SINGH,Aam Aadmi Party,"  5,588 "
Uttar Pradesh,Mainpuri,MUKESH KUMAR SHAKYA,Independent,"  2,542 "
Uttar Pradesh,Mainpuri,HAKIM SINGH,Independent,"  2,279 "
Uttar Pradesh,Mainpuri,ABU NASIM PATHAN,Peace Party,"  2,095 "
Uttar Pradesh,Mainpuri,RAJESHWARI,Independent,"  1,746 "
Uttar Pradesh,Mainpuri,MUKESH KUMAR,Independent,  916 
Uttar Pradesh,Mainpuri,SATENDRA VEER SINGH CHAUHAN,All India Forward Bloc,  872 
Uttar Pradesh,Mainpuri,ASHOK KUMAR,Independent,  695 
Uttar Pradesh,Mainpuri,SHISHUPAL SINGH,Bhartiya Shakti Chetna Party,  561 
Uttar Pradesh,Mainpuri,None of the Above,None of the Above,"  6,323 "
Uttar Pradesh,Mathura,HEMA MALINI,Bharatiya Janata Party,"  574,633 "
